monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
8.879,116304596.66666667,3169629.740779409,1.6418866666666665e-09,4.379890904272994e-11,7.083540654799859e+16,229142205072228.94
8.887,117145026.66666667,3246884.2261825944,1.6415399999999999e-09,4.4654195771506175e-11,7.1362359402392776e+16,204045689657554.16
8.895,118120966.66666667,3055138.128241233,1.6384833333333334e-09,4.348556580445214e-11,7.209307235935427e+16,377408629858801.6
8.903,119075263.33333333,3225344.0243225717,1.6395000000000002e-09,4.2396352437444384e-11,7.262780473565838e+16,301204595199882.3
8.911,119861930.0,3185994.888900483,1.6369000000000002e-09,4.3416996671810465e-11,7.32253020720398e+16,325908212418650.06
8.919,120439936.66666667,3309681.2925164476,1.6301133333333334e-09,4.325448685782015e-11,7.388355467809314e+16,321613269112268.3
8.927,122186710.0,3094270.57323693,1.6273166666666666e-09,5.1379239322252876e-11,7.510080798963022e+16,1289447427411335.0
8.935,123325860.0,3175422.920793386,1.6372966666666666e-09,4.177015361874241e-11,7.532350134242443e+16,485856011511514.7
8.943,124943413.33333333,3244763.195324633,1.6393666666666668e-09,4.2057875996456794e-11,7.621470026380037e+16,411642626730362.6
8.951,125594346.66666667,3030896.914798216,1.6334466666666667e-09,4.051422260556575e-11,7.68903669747981e+16,309883985214541.9
8.959,125246978.33333333,2695640.1831284277,1.6221583333333333e-09,3.747074454379934e-11,7.721249535176421e+16,188181092623775.88
8.9595,125286570.0,3113998.2481851205,1.6204699999999999e-09,4.18450439120334e-11,7.731644848345574e+16,245621939663963.53
8.96,125383126.66666667,3054251.3563283132,1.6204033333333332e-09,4.105763550587554e-11,7.737901297820282e+16,111093899090145.69
8.9605,125754573.33333333,3053104.7743294574,1.6183933333333333e-09,4.245194263320981e-11,7.770602464463144e+16,198320756534150.56
8.961,125857453.33333333,2928809.4344004914,1.6174366666666669e-09,4.0752303411382e-11,7.781543521490136e+16,183691045030007.38
8.9615,125909956.66666667,3046773.7061740146,1.61698e-09,4.066991885902893e-11,7.786859973911146e+16,101444917194578.0
8.962,125839103.33333333,2916706.9418495446,1.61526e-09,4.12294906589931e-11,7.790967311250206e+16,288555705599036.7
8.9625,125638386.66666667,3054341.823934142,1.6138866666666668e-09,4.0748941499544897e-11,7.784954634522462e+16,74015783414628.73
8.963,125493946.66666667,2864180.7321000784,1.6125666666666669e-09,4.099869062949858e-11,7.782587416295531e+16,202724133782136.9
8.9635,125480816.66666667,2950131.4955834327,1.6110966666666667e-09,4.1303798049735505e-11,7.788822020119051e+16,222285636024304.1
8.964,125466053.33333333,2884800.4406948714,1.6094266666666668e-09,3.99734791247063e-11,7.79593891296869e+16,186370617129633.12
8.9645,125421326.66666667,2937381.5654479316,1.60794e-09,4.020236684574672e-11,7.800336423481754e+16,194698427017874.06
8.965,125444083.33333333,2842911.8597897696,1.6066866666666669e-09,4.006185384294307e-11,7.807918829226805e+16,191323489322733.34
8.9655,125370206.66666667,2916230.5367088765,1.6057233333333336e-09,3.917725658252929e-11,7.807854417579218e+16,125147390431401.47
8.966,125187500.0,2847756.40353946,1.6047999999999999e-09,3.9115675885762216e-11,7.801019856983742e+16,125875536232903.05
8.9665,125277310.0,2792818.759013911,1.6040699999999998e-09,3.913297714204732e-11,7.81022890015413e+16,162332896531305.53
8.967,125235463.33333333,2839328.9939056598,1.60253e-09,3.94888933752265e-11,7.815111050654491e+16,171932025596826.6
8.9675,125162616.66666667,2744250.611776071,1.6023e-09,3.851047779501044e-11,7.811699297526859e+16,193231794976335.3
8.968,124993800.0,2818779.940115936,1.60045e-09,3.8386743805641976e-11,7.810093602583672e+16,122252624423965.06
8.9685,124949090.0,2719566.6705010193,1.5997200000000001e-09,3.801420787021602e-11,7.810928978528946e+16,154053695496425.78
8.969,124886676.66666667,2729015.332319212,1.5981033333333334e-09,3.853882760714622e-11,7.814961715399387e+16,175948959557678.97
8.9695,124830980.0,2559167.5708518974,1.5973433333333335e-09,3.775422801930052e-11,7.8153072267354e+16,306133751449608.1
8.97,124675846.66666667,2732705.3739167238,1.5964766666666668e-09,3.688648713734247e-11,7.809580577754754e+16,120006045564201.45
8.9705,124617503.33333333,2668416.5959672276,1.5885833333333334e-09,4.357105958469839e-11,7.845582727692403e+16,776762267206717.2
8.971,124447923.33333333,2634836.4604341816,1.59412e-09,3.584850345551406e-11,7.806842778284277e+16,161556922624345.47
8.9715,124304430.0,2750050.639951926,1.5929633333333333e-09,3.768251230124295e-11,7.803531431885723e+16,118002394153198.67
8.972,124281570.0,2701307.099664901,1.5854966666666669e-09,2.5782711908046653e-11,7.838191109905102e+16,425517879541916.75
8.9725,124141753.33333333,2564624.821710444,1.5902633333333331e-09,3.712291789896555e-11,7.80668856881634e+16,219251962915150.38
8.973,124007860.0,2656546.7003800254,1.5894166666666668e-09,3.7395561679607505e-11,7.802359426343934e+16,205794422206078.94
8.9735,123774130.0,2640606.3894681465,1.5876800000000002e-09,3.7662298124251534e-11,7.796202370382379e+16,184624780259466.3
8.974,123585660.0,2605278.5614785994,1.5870033333333335e-09,3.6139787400223265e-11,7.787559965957346e+16,155349705256309.53
8.9745,123320173.33333333,2682129.782921275,1.58489e-09,3.6415217972710285e-11,7.781137678365845e+16,104445313375964.83
8.975,123085476.66666667,2483441.900877357,1.5852133333333332e-09,3.5781017779450214e-11,7.764879237127458e+16,202206430090267.03
8.9755,122724273.33333333,2552325.3291133023,1.5835633333333334e-09,3.6208690025093755e-11,7.750123036450392e+16,165224110045055.16
8.976,122434203.33333333,2481256.900128104,1.5824766666666666e-09,3.581169129395222e-11,7.737152937373678e+16,229317620479921.62
8.9765,122104613.33333333,2528279.077442466,1.5801066666666667e-09,3.6195428348526805e-11,7.727883697085802e+16,225084725561030.28
8.977,121527966.66666667,2527857.883749271,1.58001e-09,3.565137865496927e-11,7.691805190060018e+16,202139234998511.56
8.9775,120896540.0,2513694.86276676,1.5780566666666667e-09,3.606301752950425e-11,7.661355269254184e+16,249165561474524.44
8.978,119977536.66666667,2340278.6560863517,1.5756833333333334e-09,3.3536669979789734e-11,7.614515479048987e+16,193900884309752.94
8.9785,119444383.33333333,2261218.9965665257,1.5652733333333334e-09,2.9444327693688914e-11,7.63108893174652e+16,690348594918766.9
8.979,118571916.66666667,2241923.639228897,1.5765133333333333e-09,3.1426588000184283e-11,7.521264279577589e+16,202769389111283.3
8.9795,117663046.66666667,2154221.917754376,1.5750766666666666e-09,3.247238878390899e-11,7.470548802406768e+16,221632950651695.47
8.98,116618390.0,2050330.0269224953,1.57254e-09,3.0706175274690266e-11,7.416122335362605e+16,218146435175768.3
8.9805,115375626.66666667,2080675.9787226222,1.5695000000000002e-09,3.042066238595083e-11,7.351258547194803e+16,262365804748092.0
8.981,113847806.66666667,2019936.5154710533,1.5644833333333333e-09,3.091526214240034e-11,7.277246694689613e+16,311645287535802.25
8.9815,112007683.33333333,2019915.390612519,1.5613766666666667e-09,3.0794215907103897e-11,7.173833793961031e+16,277666854569959.6
8.982,109877660.0,2043377.1026660742,1.5608966666666668e-09,3.040033113854744e-11,7.0395389900011816e+16,390023655082122.0
8.9825,107152523.33333333,2007024.0516828205,1.5640533333333333e-09,3.0118848472897e-11,6.8510691488525176e+16,400486242133516.6
8.983,103590010.0,1966967.4926647872,1.5646333333333333e-09,2.915363670853665e-11,6.6208163813926024e+16,511173277496447.06
8.9835,98812831.0,1937968.5411412127,1.5648766666666666e-09,2.984014968684525e-11,6.314537795142678e+16,572382762625333.4
8.984,93065274.0,1835149.8751102048,1.5670166666666665e-09,2.9813195624309347e-11,5.9391417801345704e+16,585576711356990.1
8.9845,86330702.66666667,1793148.191149951,1.5697166666666667e-09,2.98502266881398e-11,5.499844826007197e+16,598957691392586.8
8.985,78918122.0,1831607.6697745617,1.5713633333333333e-09,3.0236243704093546e-11,5.02224299138346e+16,629838911635850.0
8.9855,71705489.66666667,1655227.3444386243,1.5708933333333334e-09,3.015053122804535e-11,4.564605192698673e+16,564073083465635.4
8.986,65095541.0,1450056.295664758,1.5705166666666666e-09,3.089361800329203e-11,4.144843440630537e+16,433680070030733.75
8.9865,59787344.0,1193926.5879370472,1.5704733333333334e-09,3.054960283429774e-11,3.807019444843202e+16,311932768695408.6
8.987,55858367.666666664,934407.2837913516,1.5697466666666666e-09,3.057154941008607e-11,3.5585722417951836e+16,156567046292945.3
8.9875,53238885.0,757874.2635708116,1.57034e-09,3.022393587870383e-11,3.390500285529429e+16,180487039208004.66
8.988,51725628.0,681415.982537099,1.5651933333333331e-09,2.3708349443462643e-11,3.3048445202192404e+16,193583966440958.16
8.9885,50397396.0,689941.9562202316,1.5712166666666668e-09,3.0690194416675524e-11,3.2078061359003936e+16,235238244299416.1
8.989,49032464.0,549042.8719034607,1.57188e-09,2.803565872241997e-11,3.1196662853950612e+16,216604603002438.2
8.9895,47144040.666666664,638211.0996185604,1.57146e-09,3.1686310924435544e-11,3.0002843705107052e+16,200207382995738.44
8.99,44794283.0,663430.9783398722,1.5715499999999998e-09,3.230104023092759e-11,2.850556063726851e+16,178553741636563.8
8.9905,41987806.0,684663.012323581,1.5729433333333334e-09,3.2180597156257456e-11,2.6695388220608836e+16,139019635954363.89
8.991,38872372.333333336,595141.7085714415,1.5732266666666667e-09,3.252916588745147e-11,2.4710724927277772e+16,179115363102751.3
8.9915,35618490.666666664,483023.53306265763,1.5743633333333334e-09,3.241314136786716e-11,2.2626374256290644e+16,182680003378702.94
8.992,32401152.0,396009.66352350544,1.5754700000000001e-09,3.3020158994165864e-11,2.056859543875374e+16,187751750210010.56
8.9925,29555513.666666668,244635.60293901124,1.5751233333333333e-09,3.276779567400495e-11,1.8767279647020228e+16,243605048143262.4
8.993,27203612.666666668,315250.6131196791,1.57213e-09,2.8593894453186948e-11,1.7305527767146482e+16,192395269643563.56
8.9935,25166006.333333332,280222.6562741371,1.57882e-09,3.6785998695155866e-11,1.5943577405769286e+16,275631828250435.1
8.994,23547313.0,322570.17780786863,1.5794e-09,3.683297299974577e-11,1.4913175226893184e+16,326419657600318.1
8.9945,22285528.0,367271.7406757563,1.57954e-09,3.690486553288051e-11,1.411341853560272e+16,371975862834930.56
8.995,21340690.333333332,404558.13303446694,1.5816433333333332e-09,3.763830008559539e-11,1.3497716727835984e+16,406113656766522.5
8.9955,20598601.333333332,416159.28130624874,1.58122e-09,3.724693410201708e-11,1.3032060024547608e+16,415747560121227.9
8.996,19991896.333333332,424143.67896779213,1.5818733333333331e-09,3.765784955800497e-11,1.2642972588978778e+16,408159482902311.2
8.9965,19412854.666666668,473530.4582826042,1.5831366666666667e-09,3.782791605855824e-11,1.2267252149080856e+16,433511817140879.06
8.997,18867222.333333332,469404.62415738247,1.5838366666666665e-09,3.72932920688605e-11,1.1916847058336082e+16,413027726190919.9
8.9975,18388966.666666668,485322.5187288687,1.58439e-09,3.801548500282476e-11,1.1611431327183694e+16,441715142287973.94
8.998,17949410.0,520490.1708956664,1.5850633333333332e-09,3.755232260903886e-11,1.1329025404259766e+16,452473388303755.4
8.9985,17659795.0,533915.1591320479,1.5858299999999999e-09,3.760256773147276e-11,1.1141099239382602e+16,464576625787551.3
8.999,17487534.333333332,576335.0095251318,1.5803866666666667e-09,4.5805321015503576e-11,1.1073536654861808e+16,552319687071081.2
8.9995,17387367.666666668,594299.7552097199,1.5896633333333332e-09,3.263813158459488e-11,1.0941596228865652e+16,465702179140332.56
9.0,17418707.666666668,626259.3410914787,1.58955e-09,3.324763450232215e-11,1.0962147544863026e+16,482295105527662.8
9.0005,17550541.0,624232.6862348687,1.5893866666666665e-09,3.2875039670444976e-11,1.1046307603196124e+16,485802290836618.3
9.001,17728706.0,658523.2674279626,1.58988e-09,3.260421445150917e-11,1.115496623877371e+16,505729887387635.7
9.0015,18021104.666666668,644085.7595820086,1.588303333333333e-09,3.2511238569659794e-11,1.1350087522674858e+16,497204276980095.94
9.002,18346410.0,662128.4606547282,1.5841033333333332e-09,3.273314884537292e-11,1.1585330086702762e+16,500181498341982.75
9.0025,18748882.666666668,691900.823454007,1.5802433333333334e-09,3.207743807309645e-11,1.186796587103965e+16,507598201607730.7
9.003,19241143.0,656742.8097977168,1.5789066666666666e-09,3.2773015322568815e-11,1.2189983080680934e+16,493523226419135.2
9.0035,19763681.333333332,670000.3743688011,1.57878e-09,3.18787013537252e-11,1.2521648283934016e+16,493627206315853.0
9.004,20302370.333333332,686212.0820346533,1.5818066666666669e-09,3.2427977632490944e-11,1.2838083347050592e+16,492981937456903.6
9.0045,20857618.333333332,667092.3735153428,1.5846833333333334e-09,3.197682337777369e-11,1.3164765168082558e+16,466784595184677.4
9.005,21345689.333333332,662472.0350568269,1.58835e-09,3.2355860365627763e-11,1.3441751477451046e+16,464701279419608.7
9.0055,21822469.0,677091.9618604255,1.5926733333333331e-09,3.141881177468888e-11,1.3704584290887992e+16,474039530715443.8
9.006,22248511.0,670935.0257334908,1.5958566666666666e-09,3.1719530786777694e-11,1.3944122436427778e+16,463946238539929.0
9.0065,22623146.333333332,682529.0746864441,1.5974066666666667e-09,3.062997279354534e-11,1.4164790792082478e+16,459922566729620.8
9.007,22980481.666666668,633282.8879429264,1.5966933333333333e-09,3.148512717670573e-11,1.4395008713194278e+16,430170690388935.8
9.0075,23292489.333333332,614916.5829544147,1.5957933333333334e-09,3.0711692127483626e-11,1.4598402147153376e+16,410636471131441.2
9.008,23524066.666666668,670971.8724673435,1.5955700000000001e-09,3.068318106063981e-11,1.4745171762958882e+16,422352920311135.06
9.0085,23711903.333333332,675025.2575543626,1.5934966666666664e-09,3.069509787137573e-11,1.4882332959323232e+16,429727471490919.1
9.009,23826755.0,647032.1859900015,1.5908466666666666e-09,2.9945584538180794e-11,1.497899288324451e+16,398952732061572.3
9.0095,23865534.666666668,615358.237600126,1.5869366666666668e-09,2.9008854395396846e-11,1.5040250234456362e+16,379777807944840.5
9.01,23815378.666666668,606722.3290569856,1.58218e-09,2.9035061563564862e-11,1.5054055801794278e+16,392125968279789.7
9.0105,23762561.0,652992.2101549145,1.5809766666666666e-09,2.8514207569794675e-11,1.5031713452795598e+16,402608935647412.3
9.011,23715517.666666668,602429.4672418782,1.5830866666666667e-09,2.911616790261611e-11,1.4982097705072318e+16,373866051810599.2
9.0115,23596473.666666668,651505.1311051458,1.5837066666666666e-09,2.846249696237726e-11,1.4900458597005274e+16,375774395322793.4
9.012,23509752.333333332,657575.9428243506,1.5859866666666667e-09,2.8125179703129615e-11,1.4824479794191998e+16,389427254803083.9
9.0125,23463347.666666668,609389.4765823686,1.5884733333333333e-09,2.8764812416098488e-11,1.477244813041553e+16,375735669708626.7
9.013,23394228.0,656202.6016124898,1.5923999999999998e-09,2.841959359315333e-11,1.46922596121414e+16,388402098232582.6
9.0135,23381879.0,663058.853675147,1.5924499999999998e-09,2.8091836892592188e-11,1.4683681067585626e+16,373533259464628.2
9.014,23339857.666666668,633082.6011274778,1.5923533333333333e-09,2.797553276227873e-11,1.4658449981536462e+16,369548884588828.6
9.0145,23295934.0,643657.6753080786,1.5917433333333334e-09,2.8596748649686275e-11,1.463637192170075e+16,367256077016628.75
9.015,23306311.0,611218.6900946338,1.5882433333333334e-09,2.8124440142575823e-11,1.4674899413561634e+16,331873612490906.56
9.0155,23357584.333333332,574849.7653964326,1.5936433333333334e-09,2.6103877745142275e-11,1.4658489219460928e+16,388995940906432.75
9.016,23350778.666666668,574845.8275479897,1.5922866666666668e-09,2.5621503338667213e-11,1.4666623249156714e+16,387104052818591.0
9.0165,23398911.333333332,571157.9197536645,1.5923533333333333e-09,2.7060325817205782e-11,1.4696343135002264e+16,382026681192670.5
9.017,23418229.666666668,563946.9661753073,1.5914433333333331e-09,2.6385180183832976e-11,1.4716758622030826e+16,374691072323017.75
9.0175,23399646.0,583953.0579276043,1.59044e-09,2.57577405841428e-11,1.4714304467610358e+16,387526952789136.25
9.018,23439291.666666668,599761.1188901237,1.5889466666666667e-09,2.5456019589349256e-11,1.4752936199750698e+16,390443682524705.3
9.0185,23478531.666666668,602386.032422178,1.5882366666666668e-09,2.6054100125188223e-11,1.4784040211303222e+16,377060539989387.25
9.019,23522472.333333332,563549.6763128637,1.5870433333333334e-09,2.6333234387999768e-11,1.4822842909765514e+16,350988186642285.56
